'ACHRCG','ACHS RANCAGUA'
'ADMANT','ADMINISTRACION ANTOFAGASTA'
'ADMCNP','ADMINISTRACION CONCEPCION'
'ADMRCG','ADMINISTRACION RANCAGUA'
'ADMREN','ADMINISTRACION RENCA'
'AGLREN','ANGLO AMERICAN LB'
'AGMREN','ANGLO AMERICAN'
'ALCREN','ALTO LAS CONDES'
'ANLREN','ANGLO AMERICAN LT'
'ANPANT','ANTEPUERTO PORTEZUELO'
'CDNREN','CD NOVICIADO'
'CDPREN','CD PARIS'
'CDVREN','CD VESPUCIO'
'CHUCAL','DIVISION CHUQUICAMATA'
'CLAREN','CD LO AGUIRRE'
'CMBCNP','CMPC - BUCALEMU'
'CMCCNP','CMPC - CARTULINAS'
'CMFCNP','CMPC - SANTA FE'
'CMLCNP','CMPC - LAJA'
'CMPCNP','CMPC - PACIFICO'
'CMVCNP','CMPC ARAUCO VALDIVIA'
'COCREN','COSTANERA CENTER'
'DCARCG','DET COLON ALTO'
'DCHCAL','DCH ACEITES'
'DETRCG','DIVISION EL TENIENTE'
'DMHCAL','DIVISION MINISTRO HALES'
'ECEREN','EASTON CENTER'
'ERLCNP','ENAEX RIO LOA'
'EXAANT','ENAEX ANTOFAGASTA'
'EXCCAL','ENAEX CHUQUICAMATA'
'EXMANT','ENAEX MEJILLONES'
'EXPANT','ENAEX PRILLEX'
'FUCCAL','FUCO'
'FUTRCG','FUNDICION TALLERES'
'ICHCNP','INACAP CHILLAN'
'IRARCG','INACAP RANCAGUA'
'JUCREN','JUMBO COSTANERA'
'LICCNP','LICANCEL'
'MAPREN','MALL PLAZA'
'MCOANT','MINERA ESCONDIDA - CONCENTRADORAS'
'MECANT','MINERA ESCONDIDA - CATODOS'
'MMDRCG','MI MAGA DET'
'MPAREN','MALL PLAZA ALAMEDA'
'MPBCNP','MALL PLAZA BIO BIO'
'MPIREN','MALL PLAZA INDEPENDENCIA'
'MPLCNP','MALL PLAZA LOS ANGELES'
'MPOREN','MALL PLAZA OESTE'
'MPSREN','MALL PLAZA SUR'
'MPTCNP','MALL PLAZA TREBOL'
'MPTREN','MALL PLAZA TOBALABA'
'OGCRCG','OFICINA GA CAPACITACION'
'OLPANT','ORICA LA PORTADA'
'OMEANT','ORICA MEJILLONES'
'OMIRCG','OPERACIONES MINERAS'
'OPMREN','OFICINA PADRE MARIANO'
'ORIREN','ORICA EHM'
'ORLREN','ORICA LAMPA'
'OVMREN','OFICINA VINA DEL MAR'
'PLHREN','PORTAL LA DEHESA'
'PNNREN','PORTAL NUNOA'
'PRARCG','PORTAL RANCAGUA'
'PUSCAL','PUERTO SECO'
'RATCAL','RADOMIRO TOMIC'
'SITANT','SITRANS'
'UACCNP','UNIVERSIDAD AUTONOMA DE CHILE'
'VERANT','VERALLIA'
