'000000','DISPONIBLE'
'ABOGAD','ABOGADA'
'ADMCTT','ADMINISTRADOR DE CONTRATO'
'ANAACR','ANALISTA DE ACREDITACION'
'ANACDG','ANALISTA CONTROL DE GESTION'
'ANACOM','ANALISTA COMERCIAL'
'ANAREM','ANALISTA DE REMUNERACIONES'
'ANARHU','ANALISTA DE RECURSOS HUMANOS'
'ANARYS','ANALISTA RECLUTAMIENTO Y SELECCION'
'ASIABA','ASISTENTE DE ABASTECIMIENTO'
'ASIADM','ASISTENTE ADMINISTRATIVA'
'ASICAP','ASISTENTE DE CAPACITACION'
'ASICOM','ASISTENTE COMERCIAL'
'ASICTB','ASISTENTE CONTABLE'
'ASIFIN','ASISTENTE DE FINANZAS'
'ASIOPE','ASISTENTE DE OPERACIONES'
'ASIRCL','ASISTENTE DE RECLUTAMIENTO'
'ASIRHU','ASISTENTE DE RECURSOS HUMANOS'
'ASITEC','ASISTENTE TECNICO'
'BODEGU','BODEGUERO'
'CAPASE','CAPATAZ DE ASEO'
'CAPATA','CAPATAZ'
'CAPMAN','CAPATAZ DE MANTENCION'
'CAPOCI','CAPATAZ DE OBRAS CIVILES'
'CHOFER','CHOFER'
'COOOPE','COORDINADOR DE OPERACIONES'
'COORHU','COORDINADOR DE RECURSOS HUMANOS'
'CTRASI','CONTROL DE ASISTENCIA'
'DIRCIA','DIRECTOR DE LA COMPANIA'
'DIRCOM','DIRECTOR COMERCIAL'
'DIRCPT','DIRECTOR DE CAPACITACION'
'ENCPAI','ENCARGADO DE PAISAJISMO'
'ENCRYS','ENCARGADO DE RECLUTAMIENTO Y SELECCION'
'ENCTUR','ENCARGADO DE TURNO'
'ESTAFE','ESTAFETA'
'GENRHU','GERENCIA RECURSOS HUMANOS'
'GERABA','GERENCIA ABASTECIMIENTO'
'GERAYF','GERENTE DE ADMINISTRACION Y FINANZAS'
'GERGRL','GERENCIA GENERAL'
'GERMIN','GERENTE DE MINERIA'
'GEROMS','GERENTE DE OPERACIONES MINERAS SUR'
'GEROPM','GERENTE DE OPERACIONES MINERAS'
'GERPER','GERENTE DE PERSONAS'
'GTOABA','GESTOR DE ABASTECIMIENTO'
'GTOABF','GESTOR DE ABASTECIMIENTO FACILITY'
'GTOOPE','GESTOR DE OPERACIONES'
'GUASEG','GUARDIA DE SEGURIDAD'
'HSEQ','HSEQ '
'JADRHU','JEFE DE ADMINISTRACION DE RECURSOS HUMANOS'
'JARDIN','JARDINERO'
'JEFADM','JEFE DE ADMINISTRACION'
'JEFCTT','JEFE DE CONTRATO'
'JEFDPR','JEFE DEPTO. PPRR'
'JEFDRH','JEFE DEPTO. RECURSOS HUMANOS'
'JEFFIN','JEFE DE FINANZAS'
'JEFMAN','JEFE DE MANTENCION'
'JEFOPE','JEFE DE OPERACIONES'
'JEFPDR','JEFE DE PREVENCION DE RIESGOS'
'JEFRLL','JEFE DE RELACIONES LABORALES'
'JEFSEG','JEFE DE SEGURIDAD'
'JEFSER','JEFE DE SERVICIO'
'JEFTER','JEFE DE TERRENO'
'KAMOMP','KAM OPERACIONES MALL PLAZA'
'KAMOPF','KAM OPERACIONES FACILITY'
'KEYACM','KEY ACCOUNT MANAGER'
'LIDBCD','LIDER BCD'
'LIDEQU','LIDER DE EQUIPO'
'LIDMIN','LIDER MINA'
'LIDOPE','LIDER DE OPERACIONES'
'LIDPLT','LIDER PLANTA'
'MANTEN','MANTENCION'
'MECANI','MECANICO'
'OPEMIN','OPERARIO DE MINERIA'
'PAISAJ','PAISAJISTA'
'PLACDG','PLANNER CONTROL DE GESTION'
'PLACOM','PLANNER COMERCIAL'
'PLANIF','PLANIFICADOR'
'PLAOPE','PLANNER OPERACIONES'
'PRACTI','PRACTICANTE'
'PRERIE','PREVENCIONISTA DE RIESGOS'
'PRESID','PRESIDENTE'
'REDCFA','RED CONECTIVIDAD FAENA'
'RELFAC','RELACIONES LABORALES FACILITY'
'SANITI','SANITIZACION'
'SERGRL','SERVICIOS GENERALES'
'SUBCDG','SUB GERENTE DE CONTROL DE GESTION'
'SUBCTB','SUB GERENTE DE CONTABILIDAD'
'SUBFIN','SUB GERENTE DE FINANZAS'
'SUBOPE','SUB GERENTE DE OPERACIONES'
'SUBPDR','SUB GERENTE DE PREVENCION DE RIESGOS'
'SUBRHU','SUB GERENTE DE RECURSOS HUMANOS'
'SUPASE','SUPERVISOR DE ASEO'
'SUPCDC','SUPERVISOR DE CASA DE CAMBIO'
'SUPGRL','SUPERVISOR GENERAL'
'SUPINF','SUPERVISOR DE INFRAESTRUCTURA'
'SUPOPE','SUPERVISOR DE OPERACIONES'
'SUPPAI','SUPERVISOR DE PAISAJISMO'
'SUPTUR','SUPERVISOR DE TURNO'
'TECCPM','TECNICO EN COMPUTACION'
